runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21
114,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,24.75707,GGA,1,1,1,0,0,0,FALSE
19883,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,166,46,23,0,0,0,TRUE
2,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
136,Singlepoint,XYZ,1,1,39.5,0,0,0,39.5,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
154,Singlepoint,XYZ,1,1,37.05463,0,0,0,37.05463,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
60,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
20852,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,28,29,30,0,0,0,TRUE
372,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
118,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
11,Optimization,XYZ,1,7,3.423,1.978,0,-3.423,1.978,0,0,0,24.446,GGA,8,8,1,0,0,0,FALSE
119,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
100,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
38130,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,35,35,35,0,0,0,TRUE
131,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
4,Singlepoint,XYZ,1,1,24.76,0,0,0,24.76,0,0,0,4.26,GGA,23,13,1,0,0,0,FALSE
253,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
2459,MD,XYZ,3.7451212,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,32,32,32,0,0,0,TRUE
62,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
2,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,211,211,1,0,0,0,TRUE
5,Singlepoint,XYZ,1,7,13.8,7.97,0,-13.8,7.97,0,0,0,24.22,GGA,4,4,1,0,0,0,TRUE
72331,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,90,40,80,0,0,0,TRUE
215,MD,XYZ,15,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,32,32,1,0,0,0,FALSE
4,Singlepoint,XYZ,1,1,24.76,0,0,0,24.76,0,0,0,4.26,GGA,16.5,8.25,4.26,0,0,0,FALSE
145,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
56121,MD,XYZ,33.5812,6,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,64,0,0,0,TRUE
9,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
149,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
336,Singlepoint,XYZ,1,1,37.05463,0,0,0,37.05463,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
1,Singlepoint,XYZ,2.47,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
145,Singlepoint,XYZ,1,1,19.83805,0,0,0,19.83805,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
19,Singlepoint,XYZ,1,7,17.255,9.9625,0,-17.255,9.9625,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
11,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
106,Singlepoint,XYZ,1,1,39.51415,0,0,0,39.51415,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
111,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
48,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
4,Singlepoint,XYZ,1,7,13.7,7.91,0,-13.7,7.91,0,0,0,24.446,GGA,4,4,1,0,0,0,TRUE
111988,MD,XYZ,20,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,32,0,0,0,TRUE
53,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
51,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
77,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
28720,MD,XYZ,12.52472,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,32,0,0,0,TRUE
2,Singlepoint,FDF,1,7,1.944,-3.367,0,1.944,-3.367,0,0,0,100,LDA,10,10,1,0,0,0,FALSE
226,Singlepoint,XYZ,1,1,32.13561,32.13561,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
41,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,0.6666666,0.3333333,1,0,0,0,FALSE
2,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,320,320,1,0,0,0,TRUE
99,Singlepoint,XYZ,1,1,39.51415,0,0,0,39.51415,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
28,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
33,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
171,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,16,16,1,0,0,0,FALSE
21,Optimization,XYZ,1,4,0,0,0,3,3,3,0,0,10,LDA,1,1,1,0,0,0,FALSE
57,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
107,Optimization,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,8,8,1,0,0,0,FALSE
3,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,300,300,300,0,0,0,TRUE
52,Singlepoint,XYZ,1,1,37.05463,0,0,0,37.05463,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
13,Singlepoint,XYZ,1,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
163,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
326,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
291,MD,XYZ,6.84537,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,32,32,1,0,0,0,TRUE
58,Optimization,XYZ,1,7,18.0665,0,0,0,13.3893,0,0,0,11.6874,GGA,1,1,1,0,0,0,TRUE
360,Singlepoint,XYZ,1,1,27.22,0,0,0,27.22,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
999,Singlepoint,XYZ,1,7,17.26,9.96,0,-17.26,9.96,0,0,0,24.22,GGA,3,3,1,0,0,0,TRUE
63,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
98873,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,90,40,80,0,0,0,TRUE
36,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
16,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
40,MD,XYZ,1,7,4.14,0,0,0,4.14,0,0,0,11.71,GGA,16,16,1,0,0,0,TRUE
102,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
50,Optimization,XYZ,1,7,4.5,0,0,0,4.5,0,0,0,4.5,GGA,12,12,12,0,0,0,FALSE
2,Singlepoint,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
34594,MD,XYZ,13.16812,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,64,0,0,0,TRUE
5326,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,72,72,1,0,0,0,TRUE
11,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
65759,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,144,144,4,0,0,0,TRUE
883,MD,XYZ,12.25,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,16,16,1,0,0,0,TRUE
35283,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,426,426,1,0,0,0,TRUE
88,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
130,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
2874,Optimization,FDF,1,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,3,3,1,0,0,0,TRUE
533,Singlepoint,XYZ,1,1,32.13561,0,0,0,32.13561,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
64,Singlepoint,XYZ,1,1,2.13,1.32,0,2.13,-1.32,0,0,0,10,LDA,10,10,1,0,0,0,FALSE
49,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
44,Optimization,XYZ,1,7,4.082258418,0,0,-2.041797417,3.546485169,0,-0.047139683,-0.046169368,6.951514714,GGA,4,4,1,0,0,0,FALSE
7,Optimization,XYZ,1,7,17.255,9.9625,0,-17.255,9.9625,0,0,0,24.2195,LDA,3,3,1,0,0,0,FALSE
2,Optimization,XYZ,1,7,4.5,0,0,0,4.5,0,0,0,4.5,GGA,12,12,12,0,0,0,FALSE
3,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,300,300,300,0,0,0,TRUE
362,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
49,Singlepoint,XYZ,1,1,3.10907,0,0,-1.55453,2.692533,0,0,0,20,GGA,5,5,1,0,0,0,FALSE
185,Singlepoint,XYZ,1,1,32.13561,0,0,0,32.13561,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
246368,Optimization,XYZ,12.14,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,89,120,140,0,0,0,TRUE
641,Singlepoint,XYZ,1,7,16.1211,9.3075,0,-16.1211,9.3075,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
120,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
1,Singlepoint,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,1000,LDA,50,50,1,0.5,0.5,0,FALSE
71,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
99,Singlepoint,XYZ,1,1,39.51415,0,0,0,39.51415,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
24564,MD,XYZ,25,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,32,0,0,0,TRUE
134,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
349,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
164,Singlepoint,XYZ,1,1,39.51415,0,0,0,39.51415,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
59,Singlepoint,XYZ,2.49,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,50,50,1,0.5,0.5,0,FALSE
470,Singlepoint,XYZ,1,7,17.26,9.96,0,-17.26,9.96,0,0,0,24.22,GGA,3,3,1,0,0,0,FALSE
8,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
7,Optimization,XYZ,6.235,1,1,0,0,0,1,0,0,0,1,LDA,18,18,18,0,0,0,FALSE
5374,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,72,72,1,0,0,0,TRUE
1,Singlepoint,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,1000,LDA,0.5,0.5,0,50,50,1,FALSE
9390,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,96,4,26,0,0,0,TRUE
22,Singlepoint,XYZ,1,1,2.7942,2.7942,0,2.7942,0,2.7942,0,2.7942,2.7942,LDA,8,8,8,0,0,0,FALSE
1428,Optimization,FDF,1.05,1,18.05310631,0,0,0,13.32588291,0,0,0,20,GGA,1,1,1,0,0,0,TRUE
4057,MD,XYZ,1,7,16.1211,9.3075,0,-16.1211,9.3075,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
36693,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,64,64,8,0,0,0,TRUE
771,Optimization,FDF,1,1,18.05310631,0,0,0,13.32588291,0,0,0,20,GGA,1,1,1,0,0,0,TRUE
10,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
118,Singlepoint,XYZ,1,1,41.97366,0,0,0,41.97366,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
9717,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,93,7,18,0,0,0,TRUE
16,MD,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
32694,MD,XYZ,24,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,256,256,1,0,0,0,TRUE
27896,MD,XYZ,6.121832,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,32,0,0,0,TRUE
2495,MD,XYZ,1,7,16.1211,9.3075,0,-16.1211,9.3075,0,0,0,24.2195,GGA,3,3,1,0,0,0,FALSE
11,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
153,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
2144,Optimization,XYZ,1,7,18.07,0,0,0,13.39,0,0,0,11.69,GGA,1,1,1,0,0,0,TRUE
73,Optimization,XYZ,1,1,12.0856,0,0,0,12.0856,0,0,0,34.06,LDA,6,6,1,0,0,0,FALSE
16,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
3,Singlepoint,XYZ,1,1,24.76,0,0,0,24.76,0,0,0,4.26,GGA,16.5,8.25,4.26,0,0,0,FALSE
9634,MD,XYZ,5.25,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,80,50,25,0,0,0,TRUE
4,Optimization,XYZ,1,1,12.0856,0,0,0,12.0856,0,0,0,34.06,LDA,6,6,1,0,0,0,FALSE
105383,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,46,47,48,0,0,0,TRUE
95,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
4,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,4,2,1,0,0,0,FALSE
16509,MD,XYZ,20,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,64,64,16,0,0,0,TRUE
286038,Optimization,XYZ,32,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,85,115,64,0,0,0,TRUE
4,Singlepoint,XYZ,1,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,1,1,1,0,0,0,FALSE
124,Singlepoint,XYZ,1,1,32.13561,0,0,0,32.13561,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
122,Singlepoint,XYZ,1,1,29.7,0,0,0,29.7,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
1,Optimization,XYZ,1,1,12.0856,0,0,0,12.0856,0,0,0,34.06,LDA,6,6,1,0,0,0,FALSE
21,Singlepoint,XYZ,1,7,4.14,0,0,0,4.14,0,0,0,11.71,GGA,16,16,1,0,0,0,FALSE
140,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
30,Optimization,XYZ,1,7,17.225,9.962,0,-17.255,9.962,0,0,0,24.219,GGA,3,3,1,0,0,0,FALSE
521,Singlepoint,XYZ,1,1,39.51415,0,0,0,39.51415,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
54,Singlepoint,XYZ,1,1,3.10907,0,0,-1.55453,2.692533,0,0,0,20,GGA,9,9,1,0,0,0,FALSE
202,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
266,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
241,Singlepoint,XYZ,1,1,34.59512,0,0,0,34.59512,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
69,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
1,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,226,226,1,0,0,0,TRUE
97,MD,XYZ,5.51615548,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,8,8,1,0,0,0,TRUE
81,Singlepoint,XYZ,1,1,37.05463,0,0,0,37.05463,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
76,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
200,Singlepoint,XYZ,1,1,29.6961,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
191,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
155,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,1,10,10,0,0,0,FALSE
1,Optimization,XYZ,1,1,12.0856,0,0,0,12.0856,0,0,0,34.06,LDA,6,6,1,0,0,0,FALSE
448,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
6,Optimization,FDF,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
240086,MD,XYZ,7.86867939,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,128,128,128,0,0,0,TRUE
140,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
10,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
100,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
1,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,1,1,1,0,0,0,FALSE
169,Singlepoint,XYZ,1,1,24.76,0,0,0,24.76,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
27644,MD,XYZ,7.695427,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,256,256,1,0,0,0,TRUE
2452,MD,XYZ,16.13218,5,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,32,32,1,0,0,0,TRUE
3,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
105,Singlepoint,XYZ,1,1,24.75,0,0,0,24.75,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
323,Singlepoint,XYZ,1,1,32.1,0,0,0,32.1,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
23021,Singlepoint,XYZ,12,4,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,128,128,32,0,0,0,TRUE
260,MD,XYZ,3.786546,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,32,32,1,0,0,0,TRUE
90755,MD,XYZ,7.18,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,90,80,80,0,0,0,TRUE
201,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,0.6666,0.3333,1,0,0,0,FALSE
211905,MD,XYZ,64.5,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,32,32,32,0,0,0,TRUE
78,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
411,Optimization,XYZ,1.03,7,3.795977831,0,0,-1.897523146,3.28865105,0,-1.112055692,-0.578241628,20.66234697,GGA,6,6,1,0,0,0,FALSE
18,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,2,2,2,2,2,2,FALSE
2,Optimization,XYZ,1,1,1.9515,-3.3801,0,1.9515,3.380097,0,0,0,100,LDA,10,10,1,0,0,0,TRUE
72,Singlepoint,XYZ,1,1,29.6761,0,0,0,29.6761,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
54632,MD,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,210,210,1,0,0,0,TRUE
108,Singlepoint,XYZ,1,1,27.21659,0,0,0,27.21659,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
30,Optimization,XYZ,1,7,3.963357687,0,0,-1.982327589,3.443189484,0,-0.045766683,-0.04482463,6.951514714,GGA,4,4,1,0,0,0,FALSE
26,Optimization,XYZ,1,1,5.864758015,0,0,-2.932379246,5.079029841,0,0,0,41.79820633,GGA,5,5,1,0,0,0,TRUE
61997,MD,XYZ,13.65,7,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,GGA,64,64,64,0,0,0,TRUE
16646,Singlepoint,XYZ,1,1,0.866025,0.5,0,0.866025,-0.5,0,0,0,10,LDA,246,246,1,0,0,0,TRUE
3,Singlepoint,XYZ,1,7,13.7,7.91,0,-13.7,7.91,0,0,0,24.446,GGA,4,4,1,0,0,0,FALSE
226,Singlepoint,XYZ,1,1,27.21659,0,0,0,0,0,0,0,4.26,GGA,1,1,1,0,0,0,FALSE
4,Singlepoint,XYZ,1,1,24.75707,0,0,0,24.75707,0,0,0,4.26,GGA,2.034,1.174331,0.71,0,0,0,FALSE
